location,description
ZOO0001-ES-WAC21GH101-A01,DC Combiner box-String 1
ZOO0001-ES-WAC21GH101-A02,DC Combiner box-String 2
ZOO0001-ES-WAC21GH101-A05,DC Combiner box-String 5
ZOO0001-ES-WAC22GH101-A02,DC Combiner box-String 2
ZOO0001-ES-WAC22GH101-A08,DC Combiner box-String 8
ZOO0001-ES-WAC22GH101-A10,DC Combiner box-String 10
ZOO0001-ES-WAC31GH101-A06,DC Combiner box-String 6
EGT0327,7-Eleven Baan Klang Muang (Ratchapruek Rd.)
PTG0002,PTG Bang Phra
PTG0002-EV,EVCS Elex @ PTG Bang Phra
PTG0002-EV-UMC01US001,Main Structure
PTG0002-EV-UMC01US002,Parking lot
PTG0002-EV-UMC01GH001,Logo Sign
PTG0002-EV-UMC01BB001,Fire Extinguisher 1
PTG0002-EV-UMC01BB002,Fire Extinguisher 2
PTG0002-EV-AJA01GT001,Transformer
ZOO0001-ES-CYE11CH002,INV SYS 1 - INV 1 - FFS2
ZOO0001-ES-BFA03GH001-A01,AC Combiner box- Circuit breaker
ZOO0001-ES-WAY00QP002,Module Temperature Sensor
ZOO0001-ES-WAQ00BQ002,Ladder
ZOO0001-ES-WAQ22GV001,DC Grounding INV2
ZOO0001-ES-CYW00GN001,Router
PTG0002-EV-BFA01GH001,MDB
PTG0002-EV-BTL01GU201,DC Charger 120kW
PTG0002-EV-BTL01GU201-A01,DC Charger Power Module
PTG0002-EV-BTL01GU201-A11,DC Charger Controller
PTG0002-EV-BTL01GU201-A21,DC Charger Auxillary
EP_SPARE,EP Spare Part
PT,PT Station
THANONCHAN,PT Elex A Thanon Chan
TEST,test
HMP0002-EV-BTL02,Location Description
MKV,599015-HUAHIN 1111
PTG,PTG
EV_SERVICE_888,591250 - EV - STORE
PTG0002-EV-BTL01GU201-A31,DC Charger Meter
PTG0002-EV-BTL01GU201-A41,DC Charger Filter
ZOO0001-ES-WAC30,Inverter System #3
ZOO0001-ES-CYE11CH001,INV SYS 1 - INV 1 - FFS1
PTG0002-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0002-EV-BTL01GU201-A61,DC Charger Contactor
PTG0002-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
ZOO0001-ES-CYE12CH002,INV SYS 1 - INV 2 - FFS2
ZOO0001-ES-BFA01,MDB #1
ZOO0001-ES-BFA01GH001-A01,AC Combiner box- Circuit breaker
ZOO0001-ES-BFA01GH001-A03,Power Meter
ZOO0001-ES-BFA03GH001,AC Combiner box
ZOO0001-ES-BFA03GH001-A03,Power Meter
ZOO0001-ES-WAY00QP001,Ambient Temperature Sensor
ZOO0001-ES-WAQ00,Auxiliary System
ZOO0001-ES-WAQ00BQ003,Walkway
ZOO0001-ES-WAQ20,DC Grounding System INV SYS 2
ZOO0001-ES-CYW00EQ001,Smart Communication Box (Com 100E)
ZOO0001-ES-CYW00GN003,POE Switch
ZOO0001-ES-CYW00GU003,Fiber Cable
ZOO0001-ES-CYW00GW002,UPS
ZOO0001-ES-GAF00,Water Supply System
ZOO0001-ES-GAF00AP001,Water Pump
EGT0007-EV-UMC01US001,Main Structure
EGT0007-EV-UMC01US002,Parking lot
EGT0007-EV-UMC01GH001,Logo Sign
EGT0007-EV-UMC01BB001,Fire Extinguisher 1
EGT0007-EV-UMC01BB002,Fire Extinguisher 2
EGT0007-EV-AJA01GT001,Transformer
EGT0007-EV-BFA01GH001,MDB
EGT0007-EV-BTL01GU201,DC Charger 90kW
EGT0007-EV-BTL01GU201-A01,DC Charger Power Module
EGT0007-EV-BTL01GU201-A11,DC Charger Controller
EGT0007-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0007-EV-BTL01GU201-A31,DC Charger Meter
EGT0007-EV-BTL01GU201-A41,DC Charger Filter
EGT0007-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0007-EV-BTL01GU201-A61,DC Charger Contactor
EGT0007-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0007-EV-BTL01GU201-A81,DC Charger SECC
EGT0007-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0007-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0007-EV-BTL01GU201-F11,DC Charger IMD
EGT0007-EV-BTL01GU201-E01,DC Charger HMI
EGT0007-EV-BTL01GU201-H01,SIM for Charger
EGT0007-EV-CYA01GH001,Consumer Unit
EGT0007-EV-CYA01GN001,Router & POE Switch
EGT0007-EV-CYA01GN101,CCTV 1
EGT0007-EV-CYA01GN102,CCTV 2
EGT0007-EV-CYA01GN201,NVR
PTG0005-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0005-EV-BTL01GU201-A81,DC Charger SECC
PTG0005-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0005-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0005-EV-BTL01GU201-F11,DC Charger IMD
PTG0005-EV-BTL01GU201-E01,DC Charger HMI
PTG0005-EV-BTL01GU201-H01,SIM for Charger
PTG0005-EV-CYA01GH001,Consumer Unit
PTG0005-EV-CYA01GN001,Router & POE Switch
PTG0005-EV-CYA01GN101,CCTV 1
PTG0005-EV-CYA01GN102,CCTV 2
PTG0005-EV-CYA01GN201,NVR
PTG0005-EV-CYA01GN301,SIM for Router
PTG0005-EV-CYA01GU001,UPS
PTG0005-EV-BJB01GH001,Lighting
EGT0006,Governor's Building Central Office EGAT
EGT0006-EV,EVCS Elex @ Governor's Building Central Office EGAT
EGT0006-EV-UMC01US001,Main Structure
EGT0006-EV-UMC01US002,Parking lot
EGT0006-EV-UMC01GH001,Logo Sign
EGT0006-EV-UMC01BB001,Fire Extinguisher 1
EGT0006-EV-UMC01BB002,Fire Extinguisher 2
EGT0006-EV-BFA01GH001,MDB
EGT0006-EV-BTL01GU201,DC Charger 50kW
EGT0006-EV-BTL01GU201-A01,DC Charger Power Module
EGT0006-EV-BTL01GU201-A11,DC Charger Controller
EGT0006-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0006-EV-BTL01GU201-A31,DC Charger Meter
EGT0006-EV-BTL01GU201-A41,DC Charger Filter
EGT0006-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0006-EV-BTL01GU201-A61,DC Charger Contactor
EGT0006-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0006-EV-BTL01GU201-A81,DC Charger SECC
EGT0006-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0006-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0006-EV-BTL01GU201-F11,DC Charger IMD
EGT0006-EV-BTL01GU201-E01,DC Charger HMI
EGT0006-EV-BTL01GU201-H01,SIM for Charger
EGT0006-EV-CYA01GH001,Consumer Unit
EGT0006-EV-CYA01GN001,Router & POE Switch
EGT0006-EV-CYA01GN101,CCTV 1
EGT0006-EV-CYA01GN102,CCTV 2
EGT0006-EV-CYA01GN201,NVR
EGT0006-EV-CYA01GN301,SIM for Router
EGT0006-EV-CYA01GU001,UPS
EGT0006-EV-BJB01GH001,Lighting
EGT0007,Sirindhorn Dam
EGT0007-EV,EVCS Elex @ Sirindhorn Dam
EGT0007-EV-CYA01GN301,SIM for Router
EGT0007-EV-CYA01GU001,UPS
EGT0007-EV-BJB01GH001,Lighting
EGT0008,Chana Power Plant
EGT0008-EV,EVCS Elex @ Chana Power Plant
EGT0008-EV-UMC01US001,Main Structure
PTG0004-EV-BTL01GU201-F11,DC Charger IMD
PTG0004-EV-BTL01GU201-E01,DC Charger HMI
PTG0004-EV-BTL01GU201-H01,SIM for Charger
PTG0004-EV-CYA01GH001,Consumer Unit
PTG0004-EV-CYA01GN001,Router & POE Switch
PTG0004-EV-CYA01GN101,CCTV 1
PTG0004-EV-CYA01GN102,CCTV 2
PTG0004-EV-CYA01GN201,NVR
PTG0004-EV-CYA01GN301,SIM for Router
PTG0004-EV-CYA01GU001,UPS
PTG0004-EV-BJB01GH001,Lighting
PTG0005,PTG Phayuha Khiri 2
PTG0005-EV,EVCS Elex @ PTG Phayuha Khiri 2
PTG0005-EV-UMC01US001,Main Structure
PTG0005-EV-UMC01US002,Parking lot
PTG0005-EV-UMC01GH001,Logo Sign
